Quan,ViDo,KinhDo
Đan Phượng,21.074508258274623,105.70034844534727
Chương Mỹ,20.922634087161345,105.70216010566175
Hoài Đức,21.011345750616,105.72691504339821
Nam Từ Liêm,21.018379116406436,105.77222029512758
Hà Đông,20.972526013445975,105.77678760061198
Bắc Từ Liêm,21.060604748531357,105.78197913910333
Thanh Oai,20.926180900712048,105.79029924828795
Cầu Giấy,21.02366004127526,105.7921481153903
Thanh Xuân,20.997872819661307,105.80814810024039
Tây Hồ,21.064407369811295,105.81232662393548
Thanh Trì,20.96775003080206,105.81544871507714
Ba Đình,21.031773429988913,105.81813327681478
Đống Đa,21.016487226140374,105.82281893901225
Hoàng Mai,20.97074225350557,105.83939022338392
Đông Anh,21.106383613918148,105.84933471679686
Hoàn Kiếm,21.02403270165415,105.85122406224613
Hai Bà Trưng,20.997796054788623,105.86603694563564
Long Biên,21.044050005360432,105.89421117100188
Gia Lâm,21.00309192545914,105.96168272309568
