TITLE,Dia Chi,Loai Thong Tin,So Phong Ngu,So Toilet,Huong Nha,Ban Cong,Muc Gia,Dien Tich,Ngay Dang,Anh chup
" (Ảnh thật + bao sang tên) Chính chủ bán nhà tập thể Tạ Quang Bửu, 55m2, 2PN, giá chỉ 1,55 tỷ","Phố Tạ Quang Bửu, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),2 (phÃ²ng),,,1.55 tỷ,55 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005134929-0566_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005134936-7f16_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005134943-bbd5_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005135001-c8f0_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005135036-c497_wm.jpg']"
" (Ảnh thật 100% + bao sang tên) chỉ 1,55 tỷ có nhà tập thể ngõ 88 Võ Thị sáu, HBT, 55m2,2PN, view hồ",,,,,,,1.55 tỷ,55 m²,06/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006091035-c365_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006091039-4b2e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006091046-766e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006091054-e297_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006091103-0362_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006091111-6807_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006091123-2c47_wm.jpg']"
" (ảnh thật 100% bao sang tên) chỉ 1,55 tỷ có nhà tập thể ngõ 88 Võ Thị Sáu, HBT, 55m2, 2PN, view hồ",,,,,,,1.55 tỷ,55 m²,07/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007103246-2e9a_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007103257-b4e1_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007103303-011b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007103309-eb6b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007103314-348e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007103326-95d9_wm.jpg']"
 (Chính chủ) Cần bán gấp căn hộ cao cấp full nội thất Vinhomes Times City - Park Hill Premium,,,,,,,2.49 tỷ,58.5 m²,17/09/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/17/20200917165039-93be_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/17/20200917165244-ccf5_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/17/20200917165546-865c_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/26/20200926200849-3a63_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/17/20200917165447-0cb8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/17/20200917165545-3b21_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/17/20200917165546-24ee_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/26/20200926200903-6ce0_wm.jpg']"
" ***Bán chung cư mini Võ Thị Sáu- Chùa Vua dt 32-61m giá 905-1,46ty/căn 1-2pn ở ngay- có sổ hồng ***","Phố Lò Đúc, Phường Bùi Thị Xuân, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,,,,,1.46 tỷ,61 m²,08/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094659-50ca_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094705-271c_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094709-fd31_wm.jpg']"
" 096 551 9826 ban quản lý dự án CC 423 Minh Khai, 103m2, tầng 15 & 75,6m2 tầng 20, siêu rẻ 35tr/m2",,,,,,,35 triệu/m²,103 m²,03/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2019/11/29/20191129100449-cef5_wm.jpg']
" 0989.582.529 bán CHCC Sunshine Garden G1 - 1817(93.7m2) & G2 - 1012(45.9m2), 28tr/m2","Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,3 (phÃ²ng),2 (phÃ²ng),,Tây-Nam,28 triệu/m²,93.7 m²,08/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/08/12/20200812080215-1da6_wm.jpg']
" 10/2020 DANH SÁCH CH CHÍNH CHỦ TIMES CITY-PARK HILL BÁN CẮT LỖ, GIÁ RẺ HƠN THỊ TRƯỜNG, MIỄN DỊCH VỤ","Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,1 (phÃ²ng),1 (phÃ²ng),,Nam,1.8 tỷ,55 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105757-3efa_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105757-4b42_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105757-44a1_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105757-cac2_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105941-1a75_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105941-8b98_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105941-6062_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105758-c978_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105757-d3a4_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105757-e00d_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105757-0718_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105758-3b0b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105758-acb4_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105758-a96b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105941-b4ac_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105941-4705_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001105941-30ef_wm.jpg']"
" 100% rẻ nhất thị trường, bán gấp căn 2PN, 79m2 tại Park Hill, giá cực sốc chỉ 3 tỷ bao phí","Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),2 (phÃ²ng),,Đông,3 tỷ,79 m²,06/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925072514-5699_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925072515-6a05_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925072515-70de_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925072515-e01a_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925072515-60f2_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925072515-4d5a_wm.jpeg']"
" 100% rẻ nhất thị trường, bán gấp căn 2PN, 79m2 tại Park Hill, giá cực sốc chỉ 3 tỷ bao phí",,,,,,,3 tỷ,79 m²,03/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925184234-2712_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925184235-98c1_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925184235-d2b4_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925184235-4f05_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925184236-5616_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925184236-a893_wm.jpeg']"
