Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin,Quan,Price_per_m2
2700000000.0,80.4,3,2,Đông-Nam,Tây-Bắc,* Bàn giao nội thất cơ bản cao cấp nhập khẩu: - Sàn gỗ bột đá SPC cao cấp xuất khẩu Châu Âu - Thiết bị vệ sinh Bravat nhập Đức - Khóa cửa Kaadas nhập Đức - Thiết bị điện Simon nhập Tây Ban Nha ,Công ty CP Đầu tư Xây dựng số 9 Hà Nội,Gồm 5 toà tháp cao 22 tầng,21.0443172454834,105.877861022949,Tin Vip đặc biệt,Long Biên,33582089.55223881
3400000000.0,143.0,3,3,Tây-Nam,Đông-Bắc,0,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt,Bắc Từ Liêm,23776223.776223775
3500000000.0,112.5,3,2,Tây-Nam,Đông-Bắc,0,Công ty CP Tập đoàn Sunshine,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,Tin Vip đặc biệt,Bắc Từ Liêm,31111111.111111112
5800000000.0,136.0,3,3,Tây-Nam,Đông-Bắc,"Full nội thất gắn tường - Hoàn thiện nội thất cao cấp: Thiết bị bếp Teka, Thiết bị vệ sinh Toto, Tủ giày, tủ bếp...",Công ty CP tập đoàn S.S.G,"Gồm khách sạn, văn phòng, căn hộ",21.012432098388697,105.76739501953101,Tin Vip đặc biệt,Nam Từ Liêm,42647058.823529415
3000000000.0,105.0,3,2,Tây-Nam,Đông-Bắc,0,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt,Bắc Từ Liêm,28571428.57142857
1980000000.0,90.0,2,2,Nam,Bắc,"Để lại đồ: 3 điều hòa Daikin, tivi, tủ lạnh, máy giặt, bàn ăn, kệ tivi...",0,0,21.0897932,105.804506,Tin Vip đặc biệt,Tây Hồ,22000000.0
1180000000.0,43.0,1,1,Nam,Bắc,0,0,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip đặc biệt,Gia Lâm,27441860.465116277
5400000000.0,75.0,2,2,Đông-Nam,Tây-Bắc,"- Nội thất hoàn thiện của chủ đầu tư: Sàn gỗ, trần thạch cao, hệ thống chiếu sáng, hệ thống bếp cao cấp, điều hòa âm trần Mitsubishi, tủ âm tường. - Full nội thất: Sofa, giường, bàn ăn, tivi, tủ lạnh.",0,"Gồm 2 tòa tháp cao 30 tầng, 6 tầng TTTM, 6 tầng hầm",21.033269882202106,105.816703796387,Tin Vip đặc biệt,Ba Đình,72000000.0
3500000000.0,94.0,3,2,Đông-Nam,Tây-Bắc,Full NT cao cấp.,HD Mon Holdings,891 căn hộ,21.029411315918,105.768753051758,Tin Vip đặc biệt,Nam Từ Liêm,37234042.55319149
1680000000.0,69.4,2,2,Đông-Bắc,Tây-Nam,"- Nhà đầy đủ nội thất: Tivi, tủ lạnh LG, bình nóng lạnh Ariston, máy giặt Panasonic, lò vi sóng, bếp từ, hút mùi, điều hòa, salon, sàn gỗ, đèn Led, thiết bị vệ sinh Inax, máy lọc nước AO Smith...",Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,"Gồm 4 tòa CT1, CT2A, CT2B, CT3 cao 31-33 tầng và khu biệt thự liền kề",20.9729385375977,105.866355895996,Tin Vip đặc biệt,Hoàng Mai,24207492.79538905
