,Location,Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin
0,"
        Dự án Berriver Long Biên, Long Biên, Hà Nội
    ",2700000000.0,80.4,3,2,Đông-Nam,Tây-Bắc,* Bàn giao nội thất cơ bản cao cấp nhập khẩu: - Sàn gỗ bột đá SPC cao cấp xuất khẩu Châu Âu - Thiết bị vệ sinh Bravat nhập Đức - Khóa cửa Kaadas nhập Đức - Thiết bị điện Simon nhập Tây Ban Nha ,Công ty CP Đầu tư Xây dựng số 9 Hà Nội,Gồm 5 toà tháp cao 22 tầng,21.0443172454834,105.877861022949,Tin Vip đặc biệt
1,"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3400000000.0,143.0,3,3,Tây-Nam,Đông-Bắc,,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt
2,"
        Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",3500000000.0,112.5,3,2,,,,Công ty CP Tập đoàn Sunshine,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,Tin Vip đặc biệt
3,"
        Mỹ Đình Pearl, Số 1, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội
    ",5800000000.0,136.0,3,3,Tây-Nam,Đông-Bắc,"Full nội thất gắn tường - Hoàn thiện nội thất cao cấp: Thiết bị bếp Teka, Thiết bị vệ sinh Toto, Tủ giày, tủ bếp...",Công ty CP tập đoàn S.S.G,"Gồm khách sạn, văn phòng, căn hộ",21.012432098388697,105.76739501953101,Tin Vip đặc biệt
4,"
        Dự án Goldmark City, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3000000000.0,105.0,3,2,,,,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt
5,"
        15 Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội
    ",1980000000.0,90.0,2,2,Nam,Bắc,"Để lại đồ: 3 điều hòa Daikin, tivi, tủ lạnh, máy giặt, bàn ăn, kệ tivi...",,,21.0897932,105.804506,Tin Vip đặc biệt
6,"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1180000000.0,43.0,1,1,,,,,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip đặc biệt
7,"
        Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội
    ",5400000000.0,75.0,2,2,,Tây-Bắc,"- Nội thất hoàn thiện của chủ đầu tư: Sàn gỗ, trần thạch cao, hệ thống chiếu sáng, hệ thống bếp cao cấp, điều hòa âm trần Mitsubishi, tủ âm tường. - Full nội thất: Sofa, giường, bàn ăn, tivi, tủ lạnh.",,"Gồm 2 tòa tháp cao 30 tầng, 6 tầng TTTM, 6 tầng hầm",21.033269882202106,105.816703796387,Tin Vip đặc biệt
8,"
        Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội
    ",3500000000.0,94.0,3,2,,,Full NT cao cấp.,HD Mon Holdings,891 căn hộ,21.029411315918,105.768753051758,Tin Vip đặc biệt
9,"
        Dự án Gelexia Riverside, Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội
    ",1680000000.0,69.4,2,2,Đông-Bắc,Tây-Nam,"- Nhà đầy đủ nội thất: Tivi, tủ lạnh LG, bình nóng lạnh Ariston, máy giặt Panasonic, lò vi sóng, bếp từ, hút mùi, điều hòa, salon, sàn gỗ, đèn Led, thiết bị vệ sinh Inax, máy lọc nước AO Smith...",Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,"Gồm 4 tòa CT1, CT2A, CT2B, CT3 cao 31-33 tầng và khu biệt thự liền kề",20.9729385375977,105.866355895996,Tin Vip đặc biệt
10,"
        Dự án Iris Garden, Đường Trần Hữu Dực, Mỹ Đình, Nam Từ Liêm, Hà Nội (gần SVĐ Quốc Gia Mỹ Đình)
    ",3900000000.0,133.0,3,2,,,Tiêu chuẩn bàn giao: Nội thất cơ bản với các thiết bị của các hãng cao cấp và uy tín: - Sàn gỗ công nghiệp 12mm. - Trần thạch cao. - Tường sơn bả Matit. - Đầy đủ thiết bị vệ sinh chỉ việc sử dụng:,,"Gồm 2 tầng hầm, 5 tháp từ 25-29 tầng",21.0292072296143,105.764450073242,Tin Vip đặc biệt
11,"
        Dự án Goldmark City, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3400000000.0,143.0,4,3,Tây-Nam,Đông-Bắc,Đồ cơ bản.,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt
12,"
        Dự án Green Park Trần Thủ Độ, Đường Trần Thủ Độ, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",1515000000.0,52.0,2,2,,,,Công ty TNHH MTV đầu tư Phương Đông,"03 tầng hầm, 4 block căn hộ cao từ 24 – 27 tầng",20.9605541229248,105.845962524414,Tin Vip đặc biệt
13,"
        Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",3600000000.0,98.1,3,2,,,"Full nội thất liền tường cao cấp: - Sàn gỗ trần thạch cao, thiết bị vệ sinh đầy đủ - Điều hòa nóng lạnh âm trần - Bếp, tủ bếp trên, tủ bếp dưới bếp từ hút mùi - Thiết bị thông minh 4.0.",Công ty CP Tập đoàn Sunshine,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,Tin Vip đặc biệt
14,"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3400000000.0,134.0,4,3,Nam,Đông-Bắc,Không gian sáng tạo,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt
15,"
        Dự án Rose Town, Đường Ngọc Hồi, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",1500000000.0,52.0,2,2,,,+ Bàn giao nội thất cơ bản có tủ bếp.,,,20.956588745117198,105.844886779785,Tin Vip đặc biệt
