Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,ViDo,KinhDo,LoaiTin
2700000000.0,80.4,3,2,6,7,1,162,21.0443172454834,105.877861022949,4
3400000000.0,143.0,3,3,8,5,0,245,21.0403366088867,105.76758575439501,4
3500000000.0,112.5,3,2,8,5,0,366,21.0919170379639,105.78500366210899,4
5800000000.0,136.0,3,3,8,5,1,43,21.012432098388697,105.76739501953101,4
3000000000.0,105.0,3,2,8,5,0,245,21.0403366088867,105.76758575439501,4
1980000000.0,90.0,2,2,3,4,1,1,21.0897932,105.804506,4
1180000000.0,43.0,1,1,3,4,0,1,21.0024147033691,105.964111328125,4
5400000000.0,75.0,2,2,6,7,1,1,21.033269882202106,105.816703796387,4
3500000000.0,94.0,3,2,6,7,1,64,21.029411315918,105.768753051758,4
1680000000.0,69.4,2,2,5,8,1,286,20.9729385375977,105.866355895996,4
3900000000.0,133.0,3,2,5,8,1,1,21.0292072296143,105.764450073242,4
3400000000.0,143.0,4,3,8,5,1,245,21.0403366088867,105.76758575439501,4
1515000000.0,52.0,2,2,8,5,0,75,20.9605541229248,105.845962524414,4
3600000000.0,98.1,3,2,8,5,1,366,21.0919170379639,105.78500366210899,4
3400000000.0,134.0,4,3,3,5,1,245,21.0403366088867,105.76758575439501,4
1500000000.0,52.0,2,2,3,4,1,1,20.956588745117198,105.844886779785,4
4000000000.0,116.7,3,2,3,1,1,366,21.0919170379639,105.78500366210899,4
3800000000.0,104.0,3,2,5,8,1,43,21.012432098388697,105.76739501953101,4
5000000000.0,136.0,3,3,7,6,1,1403,21.002666473388697,105.8154296875,4
18500000000.0,380.0,5,4,7,6,0,1403,21.0190830230713,105.78173065185499,4
1500000000.0,58.9,2,1,7,6,0,1403,21.0065288543701,105.753555297852,4
6000000000.0,188.0,3,3,7,6,1,1403,21.002666473388697,105.8154296875,4
1500000000.0,55.0,2,1,7,6,1,1403,21.0065288543701,105.753555297852,4
2900000000.0,104.0,3,2,7,6,1,245,21.0403366088867,105.76758575439501,4
3200000000.0,90.0,3,2,7,6,1,366,21.0919170379639,105.78500366210899,4
2800000000.0,72.0,2,2,6,6,1,1403,21.0363712310791,105.780860900879,4
6500000000.0,140.0,3,3,6,7,1,366,21.083890914917,105.80847930908199,4
883000000.0,34.8,1,1,6,7,0,1403,21.0065288543701,105.753555297852,4
1500000000.0,56.8,2,2,6,7,1,75,20.9605541229248,105.845962524414,4
3500000000.0,92.0,3,2,8,5,1,64,21.029411315918,105.768753051758,4
2400000000.0,55.0,2,2,8,5,0,1403,21.002666473388697,105.8154296875,4
1500000000.0,55.0,2,1,8,5,0,1403,21.0065288543701,105.753555297852,4
2900000000.0,79.0,2,2,5,8,1,43,21.012432098388697,105.76739501953101,4
7500000000.0,119.0,3,2,7,6,0,160,21.04117202758789,105.825096130371,4
3300000000.0,88.0,2,2,7,6,1,1403,21.002666473388697,105.8154296875,4
2000000000.0,74.55,2,2,7,6,0,245,21.0403366088867,105.76758575439501,4
1575000000.0,59.1,2,1,7,6,1,1,21.0024147033691,105.964111328125,4
1200000000.0,43.0,1,1,7,6,0,1,21.0024147033691,105.964111328125,4
3410000000.0,134.0,3,2,8,5,1,245,21.0403366088867,105.76758575439501,4
1190000000.0,47.0,1,1,8,5,1,1,20.9944016328485,105.94917678833,4
2050000000.0,84.0,2,2,8,5,0,245,21.0403366088867,105.76758575439501,3
2850000000.0,89.0,3,2,6,8,0,286,21.0495662689209,105.778594970703,3
2050000000.0,68.0,2,2,6,7,1,245,21.0403366088867,105.76758575439501,3
2700000000.0,70.0,2,2,8,5,1,1403,20.998958587646502,105.788032531738,3
2100000000.0,84.0,2,2,8,5,0,245,21.0403366088867,105.76758575439501,3
2940000000.0,106.0,3,2,6,6,0,105,20.965379714965803,105.850639343262,3
1800000000.0,68.0,2,2,6,7,1,1,21.00241470336914,105.964111328125,3
4300000000.0,88.4,3,2,6,7,0,1403,20.998958587646502,105.788032531738,3
3500000000.0,78.0,2,2,6,7,0,1403,20.994333267211896,105.86756134033199,3
4100000000.0,70.0,2,2,6,7,0,1403,21.0197982788086,105.780708312988,3
1880000000.0,61.5,2,2,6,7,1,1,21.0292072296143,105.764450073242,3
1140000000.0,65.5,2,2,6,7,0,447,20.963598251342773,105.82803344726562,3
2220000000.0,86.0,3,2,6,7,0,1,21.0409755706787,105.91366577148399,3
1190000000.0,53.0,2,2,6,7,1,1,20.9898638136009,105.820247106858,3
3300000000.0,99.0,3,2,6,7,1,151,21.081007003784197,105.81809234619101,3
3200000000.0,80.6,2,2,4,3,0,43,21.0443725585938,105.80323028564501,3
2500000000.0,74.0,2,2,4,3,1,1,21.022161483764602,105.771797180176,3
1500000000.0,54.1,2,1,7,6,1,1,21.0024147033691,105.964111328125,3
2400000000.0,76.0,2,2,7,6,0,1,20.98483657836914,105.85985565185548,3
4300000000.0,119.0,3,2,6,7,1,1403,21.0365676879883,105.760482788086,3
945000000.0,72.0,3,2,6,7,1,1,20.9919548034668,105.785102844238,3
3148000000.0,107.0,3,2,3,4,1,366,20.99668502807617,105.87384796142578,3
2800000000.0,80.3,2,2,3,4,1,366,21.0919170379639,105.78500366210899,3
3200000000.0,108.0,3,2,3,4,1,366,20.996685028076197,105.873847961426,3
1550000000.0,56.8,2,2,7,6,1,75,20.9605541229248,105.845962524414,3
1300000000.0,25.0,1,2,7,6,1,1,21.0024147033691,105.964111328125,3
3300000000.0,122.0,3,2,7,6,1,1,21.047119140625,105.78136444091801,3
3800000000.0,118.0,3,2,4,3,1,1403,20.994333267211896,105.86756134033199,3
2330000000.0,69.0,2,2,6,7,1,1,20.9739685058594,105.82169342041,3
5300000000.0,88.0,2,2,6,7,1,285,21.064899444580103,105.827049255371,3
1700000000.0,70.0,2,2,6,7,0,1,21.0024147033691,105.964111328125,3
1490000000.0,75.0,2,2,6,7,0,1,21.0371049,105.7860054,3
3800000000.0,76.8,3,1,8,5,0,1,21.005802600000006,105.85490490000001,3
2600000000.0,87.0,3,2,8,5,1,37,21.0577354431152,105.91335296630899,3
3050000000.0,81.0,2,2,4,3,0,1403,20.9947910308838,105.86784362792999,3
