Giá,Diện tích,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công,Nội thất,Chủ đầu tư,Vĩ độ,Kinh độ
3100000000.0,86.0,3,2,5,8,1,32,21.035120010376,105.767433166504
2900000000.0,79.0,2,2,5,8,1,35,21.012432098388697,105.76739501953101
2400000000.0,55.0,2,2,5,8,0,1399,21.002666473388697,105.8154296875
3300000000.0,88.0,2,2,7,6,1,1399,21.002666473388697,105.8154296875
2600000000.0,65.64,2,2,5,8,1,1399,21.0190830230713,105.78173065185499
3200000000.0,90.0,3,2,5,8,0,263,21.0919170379639,105.78500366210899
1900000000.0,69.0,2,2,5,8,0,1399,21.0065288543701,105.753555297852
3860000000.0,132.9,3,2,5,8,1,1,21.0292072296143,105.764450073242
2800000000.0,72.0,2,2,6,6,1,1399,21.0197982788086,105.780708312988
1230000000.0,43.0,2,2,7,6,0,1399,21.0065288543701,105.753555297852
3600000000.0,99.0,3,2,7,6,1,263,21.085750719007798,105.790754318237
1180000000.0,43.0,1,1,7,6,1,1,21.0024147033691,105.964111328125
1570000000.0,60.1,3,1,6,7,1,1399,21.0065288543701,105.753555297852
2800000000.0,56.0,2,2,6,7,0,1,21.0086898803711,105.820510864258
1900000000.0,69.0,2,2,7,6,1,1,21.0024147033691,105.964111328125
3700000000.0,103.0,2,2,6,7,1,1399,21.002666473388697,105.8154296875
1000000000.0,50.0,2,2,6,7,0,21,21.0364894866943,105.931900024414
3780000000.0,71.93,2,2,5,8,0,139,21.04117202758789,105.825096130371
4100000000.0,112.5,3,2,5,8,0,263,21.0919170379639,105.78500366210899
5400000000.0,75.0,2,2,6,7,1,1399,21.0317993164063,105.814193725586
11000000000.0,166.0,3,2,8,5,1,139,21.04117202758789,105.825096130371
2900000000.0,79.0,2,2,5,8,1,35,21.012432098388697,105.76739501953101
3065000000.0,104.0,4,2,6,6,1,220,21.0403366088867,105.76758575439501
1530000000.0,59.0,2,1,7,6,1,1,21.0024147033691,105.964111328125
2050000000.0,90.0,2,2,3,4,1,1,21.0897932,105.804506
1920000000.0,69.6,2,2,7,6,1,1399,21.0065288543701,105.753555297852
3300000000.0,104.0,3,2,7,6,1,220,21.0403366088867,105.76758575439501
1500000000.0,58.9,2,1,7,6,0,1399,21.0065288543701,105.753555297852
1790000000.0,54.0,2,1,6,6,1,1399,21.0065288543701,105.753555297852
4000000000.0,116.7,3,2,6,7,1,263,21.0919170379639,105.78500366210899
2000000000.0,59.0,2,1,7,6,1,149,21.0443172454834,105.877861022949
3800000000.0,104.0,3,2,5,8,1,35,21.012432098388697,105.76739501953101
5300000000.0,88.0,2,2,5,8,1,358,21.064899444580103,105.827049255371
4667000000.0,169.0,4,3,7,6,1,220,21.0403366088867,105.76758575439501
1400000000.0,63.0,2,2,7,6,1,37,20.9760246276855,105.761596679688
2950000000.0,120.4,3,3,8,5,1,32,20.97843933105469,105.77264404296899
3800000000.0,55.0,1,2,8,5,0,1399,21.0317993164063,105.814193725586
2650000000.0,76.0,2,2,8,5,1,106,20.987026214599602,105.786834716797
2299000000.0,66.0,2,2,6,6,1,1399,21.0461521148682,105.915649414063
1650000000.0,37.0,2,2,6,7,0,1399,21.0461521148682,105.915649414063
3250000000.0,68.0,2,2,6,7,0,1399,21.0190830230713,105.78173065185499
5000000000.0,75.0,2,2,6,7,0,1399,21.0317993164063,105.814193725586
3500000000.0,95.2,3,2,4,3,0,5,20.998477935790998,105.869430541992
850000000.0,28.0,2,2,4,3,0,1,21.0024147033691,105.964111328125
2500000000.0,117.0,3,2,7,6,1,118,20.9760246276855,105.761596679688
3350000000.0,84.4,2,2,7,6,1,1,21.0086898803711,105.820510864258
3500000000.0,78.0,2,2,7,6,0,1399,20.994333267211896,105.86756134033199
1700000000.0,70.0,2,2,7,6,1,1,21.0024147033691,105.964111328125
3800000000.0,100.0,3,2,7,6,0,1,20.9933487577163,105.812691586278
1450000000.0,38.0,1,1,7,6,1,358,21.0058059692383,105.79437255859399
3800000000.0,153.0,4,2,7,6,1,139,21.072135925293,105.810997009277
2480000000.0,81.5,3,2,7,6,1,77,20.985540390014602,105.79894256591801
2480000000.0,82.0,3,2,7,6,1,77,20.985540390014602,105.79894256591801
3040000000.0,89.0,3,2,7,6,1,214,21.0495662689209,105.778594970703
2600000000.0,65.0,2,2,5,8,1,1399,21.0190830230713,105.78173065185499
9500000000.0,210.0,4,3,5,8,1,1399,21.002666473388697,105.8154296875
2700000000.0,70.0,2,2,5,8,1,1399,21.0197982788086,105.780708312988
2800000000.0,90.0,3,2,3,4,1,214,21.0495662689209,105.778594970703
19000000000.0,222.0,4,4,6,7,1,139,21.04117202758789,105.825096130371
2500000000.0,95.0,3,2,6,7,0,68,20.9824485778809,105.782279968262
6650000000.0,111.0,3,2,6,7,1,358,21.064899444580103,105.827049255371
3100000000.0,107.0,3,2,6,7,0,263,20.996685028076197,105.873847961426
3000000000.0,103.0,3,2,6,7,0,220,21.0403366088867,105.76758575439501
3800000000.0,107.0,3,2,6,7,1,1399,21.0197982788086,105.780708312988
1033000000.0,28.0,2,2,5,8,1,1399,21.0065288543701,105.753555297852
2200000000.0,50.0,1,1,5,8,1,1399,21.0190830230713,105.78173065185499
3380000000.0,87.5,3,2,5,8,1,33,21.0371780395508,105.87306976318399
1400000000.0,52.0,2,2,5,8,1,1,20.956588745117198,105.844886779785
5600000000.0,153.0,4,4,5,8,0,139,21.072135925293,105.810997009277
820000000.0,31.0,1,1,5,8,0,1,21.0024147033691,105.964111328125
3450000000.0,120.0,3,2,7,6,1,106,20.987026214599602,105.786834716797
1800000000.0,55.0,1,1,4,3,1,1399,20.9947910308838,105.86784362792999
2850000000.0,56.3,1,2,4,3,0,1,21.0086898803711,105.820510864258
1800000000.0,55.0,1,1,4,3,1,1399,20.994333267211896,105.86756134033199
2252000000.0,74.0,2,2,7,6,1,182,20.983043670654297,105.75605201721184
2480000000.0,72.0,2,2,7,6,1,214,21.0495662689209,105.778594970703
1250000000.0,75.0,2,2,7,6,1,214,21.0083923339844,105.73024749755899
10000000000.0,228.6,3,4,7,6,1,48,21.008365631103498,105.802909851074
10000000000.0,228.6,3,4,7,6,0,1,21.0040864,105.8031129
3774000000.0,116.0,3,2,5,6,1,263,21.0407333374023,105.89656066894501
2990000000.0,80.0,2,2,5,8,0,36,21.0347061157227,105.792343139648
4700000000.0,103.0,3,2,6,6,1,44,20.9984378814697,105.866737365723
1760000000.0,59.0,2,1,6,7,1,1399,21.0065288543701,105.753555297852
2280000000.0,92.0,3,2,6,7,0,1,21.0923455772017,105.78159399256599
2100000000.0,73.0,2,2,6,7,1,214,21.0495662689209,105.778594970703
2089000000.0,50.0,2,1,6,7,1,1399,21.0461521148682,105.915649414063
2600000000.0,80.0,2,2,6,7,0,44,20.9984378814697,105.866737365723
4800000000.0,86.5,2,2,6,7,1,1399,21.0229530334473,105.809814453125
1800000000.0,59.0,2,2,6,7,0,1,20.9947719573975,105.80612945556601
1450000000.0,89.0,3,2,5,8,1,15,20.961841583252,105.79552459716801
1900000000.0,53.0,1,1,4,3,1,1399,20.9947910308838,105.86784362792999
2800000000.0,87.0,2,2,8,6,1,263,21.0407333374023,105.89656066894501
3770000000.0,107.0,3,2,8,5,0,1399,21.0197982788086,105.780708312988
3800000000.0,118.0,3,2,4,3,1,1399,20.994333267211896,105.86756134033199
1850000000.0,51.0,2,1,7,6,1,358,21.0058059692383,105.79437255859399
1400000000.0,38.0,1,1,7,6,1,358,21.0058059692383,105.79437255859399
3100000000.0,108.8,3,2,7,6,0,263,20.996685028076197,105.873847961426
2750000000.0,75.0,2,2,7,6,1,1399,20.9947910308838,105.86784362792999
2630000000.0,69.0,2,2,5,8,1,1399,21.0197982788086,105.780708312988
2100000000.0,74.0,2,2,5,8,0,1,20.9947719573975,105.80612945556601
1900000000.0,61.6,2,2,5,8,0,77,20.985540390014602,105.79894256591801
4350000000.0,110.0,3,2,5,8,1,44,20.9984378814697,105.866737365723
2000000000.0,53.0,1,1,5,8,1,1399,20.9947910308838,105.86784362792999
1900000000.0,53.0,1,1,5,8,0,1399,20.994333267211896,105.86756134033199
3800000000.0,71.0,2,2,5,8,1,263,21.083890914917,105.80847930908199
6600000000.0,146.0,3,2,6,7,1,358,21.064899444580103,105.827049255371
1530000000.0,54.1,2,1,7,6,1,1,21.0024147033691,105.964111328125
3700000000.0,145.0,3,2,8,5,0,139,21.072135925293,105.810997009277
2249000000.0,60.1,2,1,6,7,0,1399,21.048234831555604,105.917451858521
2700000000.0,70.0,2,2,6,7,0,1399,20.998958587646502,105.788032531738
2860000000.0,80.5,2,2,6,7,0,263,21.084829753303,105.79238510131799
3600000000.0,119.0,3,2,8,5,1,139,21.072135925293,105.810997009277
2250000000.0,84.0,2,2,5,6,1,220,21.0403366088867,105.76758575439501
2400000000.0,74.0,2,2,4,3,1,214,21.0495662689209,105.778594970703
6000000000.0,188.0,3,3,7,6,1,1399,21.002666473388697,105.8154296875
3700000000.0,108.0,3,2,7,6,1,98,21.029411315918,105.768753051758
2100000000.0,84.0,2,2,7,6,0,220,21.0403366088867,105.76758575439501
3200000000.0,93.25,3,2,7,6,1,11,21.033765792846697,105.770301818848
2750000000.0,86.0,2,2,3,4,1,1,21.066650390625,105.79803466796899
4900000000.0,115.0,3,2,1,7,1,139,21.072135925293,105.810997009277
3250000000.0,135.0,4,3,1,2,1,98,20.9830627441406,105.80908203125
3100000000.0,68.0,2,2,5,8,0,1399,20.9947910308838,105.86784362792999
3500000000.0,70.0,2,2,7,5,1,1399,20.998958587646502,105.788032531738
1150000000.0,74.0,2,2,8,5,1,1,20.9919548034668,105.785102844238
2350000000.0,87.0,2,2,2,6,0,16,21.0833492279053,105.81072998046899
2900000000.0,95.0,3,2,2,1,1,1399,20.994333267211896,105.86756134033199
9500000000.0,120.0,3,2,3,4,0,3,21.0444717407227,105.84562683105499
