Location,Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin,Quan
"
        Dự án Berriver Long Biên, Long Biên, Hà Nội
    ",2700000000.0,80.4,3,2,6,7,0,162,Gồm 5 toà tháp cao 22 tầng,21.0443172454834,105.877861022949,4,658
"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3400000000.0,143.0,3,3,8,5,0,245,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,4,1038
"
        Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",3500000000.0,112.5,3,2,8,5,0,366,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,4,1038
"
        Mỹ Đình Pearl, Số 1, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội
    ",5800000000.0,136.0,3,3,8,5,0,43,"Gồm khách sạn, văn phòng, căn hộ",21.012432098388697,105.76739501953101,4,1538
"
        Dự án Goldmark City, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3000000000.0,105.0,3,2,8,5,0,245,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,4,1038
"
        15 Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội
    ",1980000000.0,90.0,2,2,3,4,1,1,,21.0897932,105.804506,4,877
"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1180000000.0,43.0,1,1,3,4,1,1,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,4,361
"
        Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội
    ",5400000000.0,75.0,2,2,6,7,0,1,"Gồm 2 tòa tháp cao 30 tầng, 6 tầng TTTM, 6 tầng hầm",21.033269882202106,105.816703796387,4,255
"
        Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội
    ",3500000000.0,94.0,3,2,6,7,0,64,891 căn hộ,21.029411315918,105.768753051758,4,1538
"
        Dự án Gelexia Riverside, Đường Tam Trinh, Phường Yên Sở, Hoàng Mai, Hà Nội
    ",1680000000.0,69.4,2,2,5,8,1,286,"Gồm 4 tòa CT1, CT2A, CT2B, CT3 cao 31-33 tầng và khu biệt thự liền kề",20.9729385375977,105.866355895996,4,1134
"
        Dự án Iris Garden, Đường Trần Hữu Dực, Mỹ Đình, Nam Từ Liêm, Hà Nội (gần SVĐ Quốc Gia Mỹ Đình)
    ",3900000000.0,133.0,3,2,5,8,0,1,"Gồm 2 tầng hầm, 5 tháp từ 25-29 tầng",21.0292072296143,105.764450073242,4,1538
"
        Dự án Goldmark City, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3400000000.0,143.0,4,3,8,5,2,245,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,4,1038
"
        Dự án Green Park Trần Thủ Độ, Đường Trần Thủ Độ, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",1515000000.0,52.0,2,2,8,5,2,75,"03 tầng hầm, 4 block căn hộ cao từ 24 – 27 tầng",20.9605541229248,105.845962524414,4,1134
"
        Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",3600000000.0,98.1,3,2,8,5,0,366,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,4,1038
"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3400000000.0,134.0,4,3,3,5,2,245,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,4,1038
"
        Dự án Rose Town, Đường Ngọc Hồi, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",1500000000.0,52.0,2,2,3,4,2,1,,20.956588745117198,105.844886779785,4,1134
"
        Dự án Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",4000000000.0,116.7,3,2,3,1,0,366,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,4,1038
"
        Mỹ Đình Pearl, Số 1, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội
    ",3800000000.0,104.0,3,2,5,8,2,43,"Gồm khách sạn, văn phòng, căn hộ",21.012432098388697,105.76739501953101,4,1538
"
        Royal City, 72A, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội
    ",5000000000.0,136.0,3,3,7,6,0,1403,Gồm: 6 tòa,21.002666473388697,105.8154296875,4,1151
"
        Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội
    ",18500000000.0,380.0,5,4,7,6,0,1403,,21.0190830230713,105.78173065185499,4,1538
"
        Dự án Vinhomes Smart City Đại Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội
    ",1500000000.0,58.9,2,1,7,6,0,1403,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,4,1538
"
        Royal City, 72A, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội
    ",6000000000.0,188.0,3,3,7,6,0,1403,Gồm: 6 tòa,21.002666473388697,105.8154296875,4,1151
"
        Dự án Vinhomes Smart City Đại Mỗ, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.
    ",1500000000.0,55.0,2,1,7,6,2,1403,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,4,1538
