,Diện tích,Số phòng ngủ,Số toilet,Chủ đầu tư,Vĩ độ,Kinh độ,Nội thất,Actual,Predicted
0,65.0,2.0,1.0,6.0,20.9819164276123,105.74249267578101,0.0,1350000000.0,1409658277.5
1,62.0,2.0,2.0,51.0,20.964401245117198,105.793334960938,1.0,1100000000.0,1239463577.5
2,146.0,3.0,2.0,178.0,21.064899444580103,105.827049255371,1.0,6500000000.0,8310613741.5
3,139.5,3.0,3.0,8.0,20.993824005127,105.80697631835899,0.0,4500000000.0,4487435929.5
4,92.0,3.0,2.0,2.0,20.962495803833,105.84484100341801,0.0,1650000000.0,2666514965.5
5,123.0,3.0,2.0,67.0,21.072135925293,105.810997009277,1.0,3400000000.0,4684376825.5
6,103.0,3.0,3.0,59.0,20.9760246276855,105.761596679688,1.0,1950000000.0,1770922385.5
7,91.0,3.0,2.0,118.0,21.0495662689209,105.778594970703,1.0,3100000000.0,3589606653.5
8,48.0,2.0,1.0,1.0,20.9986278,105.8604904,1.0,880000000.0,940608869.5
9,62.0,2.0,2.0,16.0,21.0096874237061,105.72159576416,1.0,1300000000.0,1796713209.5
10,75.0,2.0,2.0,54.0,20.9972763061523,105.80298614502001,1.0,2700000000.0,2455107625.5
11,56.0,2.0,1.0,2.0,21.0272006988525,105.80382537841801,1.0,2500000000.0,1642266717.5
12,73.0,2.0,2.0,118.0,21.0495662689209,105.778594970703,1.0,2100000000.0,3074701221.5
13,120.0,3.0,2.0,6.0,21.002019882202106,105.82038879394501,0.0,3199000000.0,4648029773.5
14,94.0,2.0,2.0,1.0,21.0296809,105.7914804,1.0,2800000000.0,3550050497.5
15,169.0,4.0,3.0,111.0,21.0403366088867,105.76758575439501,1.0,4667000000.0,5850215037.5
16,76.1,2.0,2.0,1.0,20.978338241577106,105.83633422851601,1.0,1950000000.0,2245941369.5
17,54.3,2.0,2.0,44.0,20.9732913970947,105.82000732421899,1.0,1100000000.0,1235329849.5
18,153.0,4.0,2.0,67.0,21.072135925293,105.810997009277,1.0,4100000000.0,5132431833.5
19,50.0,2.0,1.0,20.0,21.0577354431152,105.91335296630899,1.0,1500000000.0,773660909.5
20,130.0,3.0,3.0,1.0,21.0292072296143,105.764450073242,0.0,3800000000.0,3413850137.5
21,77.6,2.0,1.0,6.0,21.0061817169189,105.806427001953,1.0,2500000000.0,2427199745.5
22,90.0,2.0,2.0,1.0,20.990182876586896,105.86865997314501,1.0,2490000000.0,2840080549.5
23,94.0,2.0,2.0,53.0,21.029411315918,105.768753051758,1.0,3400000000.0,3402755805.5
24,97.0,3.0,2.0,33.0,20.997150421142603,105.82169342041,0.0,2900000000.0,3455884433.5
25,56.0,2.0,2.0,1.0,20.9909876,105.8389195,1.0,880000000.0,1549470093.5
26,107.0,3.0,2.0,1.0,21.0215526,105.78788670000002,0.0,2500000000.0,3579882805.5
27,87.0,2.0,2.0,21.0,21.002698898315398,105.792427062988,1.0,3000000000.0,2973950525.5
28,88.0,2.0,2.0,734.0,21.002666473388697,105.8154296875,0.0,3700000000.0,3904369421.5
29,89.0,3.0,2.0,21.0,21.015119552612305,105.77783203125,1.0,2800000000.0,2936374201.5
30,55.0,2.0,2.0,52.0,20.9842433929443,105.808448791504,0.0,1800000000.0,1699681369.5
31,50.0,1.0,1.0,734.0,21.0190830230713,105.78173065185499,1.0,2200000000.0,2514323293.5
32,135.0,3.0,2.0,62.0,20.9599075317383,105.76819610595699,1.0,2200000000.0,452767321.5
33,110.0,3.0,2.0,1.0,20.9947719573975,105.80612945556601,1.0,3300000000.0,3689378325.5
34,54.0,2.0,2.0,34.0,21.0380128256336,105.786831378937,0.0,2700000000.0,1893995569.5
35,53.18,2.0,1.0,69.0,21.0295810699463,105.850410461426,1.0,1600000000.0,1315251725.5
36,84.0,3.0,2.0,33.0,20.9906997680664,105.814277648926,1.0,3000000000.0,2481112725.5
37,73.9,3.0,2.0,93.0,20.9763450622559,105.76149749755899,1.0,2100000000.0,1507629465.5
38,66.0,2.0,2.0,734.0,21.0461521148682,105.915649414063,1.0,2000000000.0,2085531453.5
39,77.6,2.0,2.0,17.0,20.984340667724602,105.776809692383,1.0,2300000000.0,2039192777.5
40,117.0,3.0,2.0,59.0,20.987026214599602,105.786834716797,1.0,3200000000.0,3121974977.5
41,117.0,3.0,2.0,734.0,20.994333267211896,105.86756134033199,1.0,4000000000.0,4551674133.5
42,78.0,2.0,2.0,50.0,20.970058441162106,105.87777709960899,0.0,2150000000.0,1903575557.5
43,43.0,1.0,1.0,734.0,21.0065288543701,105.753555297852,1.0,1420000000.0,718537361.5
44,105.0,3.0,2.0,54.0,20.9972763061523,105.80298614502001,1.0,3300000000.0,3486563297.5
45,111.0,2.0,2.0,734.0,21.002666473388697,105.8154296875,1.0,4600000000.0,4838995589.5
