,titles,price,area,location,time
0,"
                            SUẤT NGOẠI GIAO HOTT NHẤT DỰ ÁN GELEXIMCO 897 GIẢI PHÓNG -GIÁ 1,7TỶ LH : 0902206138
                        ",30 triệu/m²,60 m²,"Hoàng Mai, Hà Nội","
                                Hôm nay
                                02/10/2020
"
1,"
                            MỞ BÁN TÒA B QUỸ CĂN ĐẸP NHẤT DỰ ÁN GIÁ CHỈ 1,3 TỶ/CĂN, HTLS 0%, THANH TOÁN SỚM CK 4,5%. 0981585855
                        ",22.6 triệu/m²,94 m²,"Hoàng Mai, Hà Nội","
                                Hôm nay
                                02/10/2020
"
2,"
                            BÁN CĂN HỘ CCCC 3PN, 2WC TẠI DỰ ÁN MỸ ĐÌNH PEARL
                        ",Giá thỏa thuận,72 m²,"Nam Từ Liêm, Hà Nội","
                                Hôm nay
                                02/10/2020
"
3,"
                            TỔNG HỢP 8 CĂN ĐẸP - GIÁ TỐT NHẤT THÁNG 10; QUÀ TẶNG TỚI 2 TỶ; NHẬN NHÀ NGAY; VAY MIỄN LÃI 24 THÁNG
                        ",2.8 tỷ,82 m²,"Nam Từ Liêm, Hà Nội","
                                Hôm qua
                                01/10/2020
"
4,"
                            BÁN CĂN HỘ D'CAPITALE TRẦN DUY HƯNG - VIEW ĐẸP - GIÁ TỐT RA SỔ ĐỎ NGAY LIÊN HỆ: 0934581169
                        ",2.8 tỷ,69 m²,"Cầu Giấy, Hà Nội","
                                Hôm qua
                                01/10/2020
"
5,"
                            VINHOMES SMART CITY -CĂN GÓC 2PN -GIÁ GỐC CĐT- ĐÔNG NAM - TẦNG TRUNG - VIEW ĐẸP - ĐẦU TƯ CỰC TỐT
                        ",29 triệu/m²,148 m²,"Nam Từ Liêm, Hà Nội","
                                2 ngày trước
                                30/09/2020
"
6,"
                            HÓT CĂN GÓC 4PN CHỈ VỚI 5.3TỶ/148M2 UDIC WESTLAKE TÂY HỒ, CK 5%, TẶNG NGAY 100TR, NHẬN NHÀ Ở NGAY
                        ",5.3 tỷ,74.55 m²,"Tây Hồ, Hà Nội","
                                2 ngày trước
                                30/09/2020
"
7,"
                            (0941.934.009) CẮT LỖ CH GOLDMARK CITY TÒA R1,2,3,4, S1,3,4 Ở NGAY CĂN ĐẸP, TẦNG ĐẸP CAM KẾT GIÁ RẺ
                        ",2 tỷ,76 m²,"Bắc Từ Liêm, Hà Nội","
                                2 ngày trước
                                30/09/2020
"
8,"
                            BÁN CĂN HỘ VINACONEC 2 KIM VĂN KIM LŨ ĐỐI DIỆN DỰ ÁN BITEXCO  VỊ TRÍ ĐẸP THUẬN TIỆN GIAO THÔNG CĂN
                        ",Giá thỏa thuận,112.5 m²,"Hoàng Mai, Hà Nội","
                                2 ngày trước
                                30/09/2020
"
9,"
                            SUNSHINE CITY NGAY CIPUTRA TÂY HỒ, CK 450TR, ĐÓNG 10% KÝ HĐ, LÃI SUẤT 0% 24 THÁNG, 0976.49.11.88
                        ",Giá thỏa thuận,380 m²,"Bắc Từ Liêm, Hà Nội","
                                3 ngày trước
                                29/09/2020
"
