Giá,Diện tích,Số phòng ngủ,Số toilet,Chủ đầu tư
3860000000.0,132.9,3,2,
3700000000.0,103.0,2,2,2
220000000.0,47.0,1,1,
1430000000.0,59.0,2,1,
5400000000.0,75.0,2,2,2
1000000000.0,50.0,2,1,Công ty CP Đầu tư Phát triển Nhà Thăng Long - Việt Nam
4100000000.0,112.5,3,2,Công ty CP Tập đoàn Sunshine
3600000000.0,99.0,3,2,Công ty CP Tập đoàn Sunshine
3000000000.0,75.0,2,2,Công ty CP Tập đoàn Sunshine
1232000000.0,46.5,1,1,Tập đoàn Vingroup
900000000.0,30.2,1,1,Tập đoàn Vingroup
1700000000.0,61.0,2,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
1850000000.0,53.0,1,1,Tập đoàn Vingroup
3100000000.0,73.0,2,2,Công ty CP Tập đoàn Sunshine
1490000000.0,58.9,2,1,Tập đoàn Vingroup
4100000000.0,70.0,2,2,Tập đoàn Vingroup
4200000000.0,129.0,3,2,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân
1900000000.0,69.0,2,2,Tập đoàn Vingroup
1500000000.0,63.0,2,1,Tập đoàn Vingroup
2150000000.0,90.0,2,2,
4000000000.0,116.7,3,2,Công ty CP Tập đoàn Sunshine
5300000000.0,88.0,2,2,Tân Hoàng Minh Group
1570000000.0,60.1,3,1,Tập đoàn Vingroup
2800000000.0,72.0,2,2,Tập đoàn Vingroup
2800000000.0,82.0,2,2,Tân Hoàng Minh Group
1800000000.0,55.0,2,2,Tập đoàn Vingroup
2050000000.0,68.0,2,2,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân
2700000000.0,83.0,3,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
3300000000.0,88.0,2,2,Tập đoàn Vingroup
3800000000.0,153.0,4,2,Công ty TNHH phát triển khu đô thị Nam Thăng Long
1800000000.0,55.0,2,1,Tập đoàn Vingroup
2850000000.0,89.0,3,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2860000000.0,81.0,3,2,Công ty CP Tập đoàn Sunshine
5100000000.0,100.0,2,2,Công ty TNHH Phát triển T.H.T
3000000000.0,93.2,3,2,Tổng công ty Cơ khí Xây dựng - Coma
2500000000.0,79.0,3,2,Công ty CP Đầu tư Xây dựng số 9 Hà Nội
6000000000.0,188.0,3,3,Tập đoàn Vingroup
2600000000.0,69.0,2,2,Tập đoàn Vingroup
6600000000.0,111.0,3,2,Tân Hoàng Minh Group
1550000000.0,36.0,1,1,Tập đoàn Vingroup
2600000000.0,80.0,2,2,Công ty CP Terra Gold Việt Nam
2500000000.0,58.0,1,1,Công ty CP Đầu tư Xây dựng Dân dụng Hà Nội 
1900000000.0,53.0,1,1,Tập đoàn Vingroup
3700000000.0,145.0,3,2,Công ty TNHH phát triển khu đô thị Nam Thăng Long
10400000000.0,175.0,3,3,Tập đoàn Sun Group
2450000000.0,72.0,2,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
8500000000.0,156.0,4,3,Tập đoàn Vingroup
2850000000.0,72.0,1,1,Công ty CP Xây dựng Sông Hồng - Incomex
1350000000.0,67.0,2,2,Công ty Cổ phần Tập đoàn FLC
1870000000.0,72.0,2,2,
3500000000.0,78.0,2,2,Tập đoàn Vingroup
3200000000.0,83.0,2,2,Công ty CP Xây dựng và Thương mại Bắc Hà
2900000000.0,90.0,3,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2100000000.0,78.0,2,2,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân
1850000000.0,60.0,2,2,
1527000000.0,54.1,2,1,
3000000000.0,108.0,3,2,HD Mon Holdings
1980000000.0,103.0,3,2,
2300000000.0,58.0,2,1,Công ty CP Terra Gold Việt Nam
3500000000.0,108.0,3,3,Công ty CP Tập đoàn Sunshine
1980000000.0,71.0,2,2,
2150000000.0,86.0,3,2,
10000000000.0,228.6,3,4,Tổng công ty CP Xuất nhập khẩu và Xây dựng Việt Nam
10000000000.0,228.6,3,4,
2100000000.0,92.0,2,2,Công ty CP Đầu tư Bất động sản Đông Đô - BQP
3000000000.0,110.0,3,2,Tổng công ty Xây dựng Hà Nội
4500000000.0,100.0,3,2,Tập đoàn Vingroup
3700000000.0,107.0,3,2,Tập đoàn Vingroup
3000000000.0,80.5,2,2,Công ty CP Tập đoàn Sunshine
3800000000.0,118.0,3,2,Tập đoàn Vingroup
3780000000.0,71.93,2,2,Tập đoàn Sun Group
2200000000.0,66.0,2,2,Tập đoàn Vingroup
2050000000.0,61.0,2,2,Công ty TNHH Thiên Hương
1960000000.0,85.0,3,2,Công ty TNHH MTV đầu tư Phương Đông
2000000000.0,83.0,2,2,Công ty CP Đầu tư Xây dựng số 9 Hà Nội
3050000000.0,68.0,2,2,Tập đoàn Vingroup
1960000000.0,222.0,4,4,Tập đoàn Sun Group
2350000000.0,87.0,2,2,Công ty CP Đầu tư Lạc Hồng
1950000000.0,78.0,2,2,Công ty CP Bất động sản Hanovid
2600000000.0,61.0,2,1,Công ty CP Đầu tư Phú Thượng 
2850000000.0,83.0,2,2,Tập đoàn Vingroup
2585000000.0,82.0,3,2,Tập đoàn Vingroup
2200000000.0,74.5,2,2,
1490000000.0,54.8,2,2,Công ty TNHH MTV đầu tư Phương Đông
2700000000.0,74.83,2,2,Công ty CP Terra Gold Việt Nam
3200000000.0,93.25,3,2,Công ty CP Đầu tư Phát triển Đô thị Thăng Long
2990000000.0,100.58,3,2,Tập đoàn CapitaLand
1900000000.0,85.0,3,2,Công ty TNHH MTV đầu tư Phương Đông
3200000000.0,105.0,3,2,Tổng công ty Xây dựng Hà Nội
2600000000.0,61.0,3,3,Công ty CP Đầu tư Phú Thượng 
2850000000.0,66.0,2,2,Tập đoàn Vingroup
3600000000.0,119.0,3,2,Công ty TNHH phát triển khu đô thị Nam Thăng Long
2100000000.0,73.0,2,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2781000000.0,95.54,3,2,Công ty Booyoung
3500000000.0,108.7,2,2,Tập đoàn Vingroup
1500000000.0,80.0,3,1,
4800000000.0,86.5,2,2,Tập đoàn Vingroup
3600000000.0,114.0,3,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2500000000.0,79.0,2,2,Công ty CP Xây lắp Điện 1
1500000000.0,58.4,1,1,
1600000000.0,60.0,2,2,
2750000000.0,75.0,2,2,Tập đoàn Vingroup
2600000000.0,75.0,2,2,Tập đoàn Vingroup
2600000000.0,65.0,2,2,Tập đoàn Vingroup
2400000000.0,59.8,1,1,Công ty CP Xây dựng và Thương mại Bắc Hà
1850000000.0,96.0,3,2,
5600000000.0,174.0,3,2,Công ty CP Đầu tư và Phát triển nhà số 6 Hà Nội 
3000000000.0,85.0,3,2,Công ty CP Đầu tư - Thiết kế và Xây dựng Việt Nam
2850000000.0,75.0,2,2,Công ty CP Hóa Dầu Quân Đội
11500000000.0,167.0,4,3,Tập đoàn Vingroup
3200000000.0,139.0,3,3,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân
2900000000.0,98.0,3,2,Công ty CP Đầu tư Phát triển Đô thị Thăng Long
2200000000.0,85.0,2,2,
1600000000.0,65.0,3,1,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
1450000000.0,38.0,1,1,Tân Hoàng Minh Group
1780000000.0,62.0,2,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
4500000000.0,84.0,2,2,Công ty CP ACC - Thăng Long
1500000000.0,65.0,2,1,
3800000000.0,154.3,3,3,Tập đoàn CapitaLand
2250000000.0,84.0,2,2,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân
2400000000.0,62.0,2,1,Tập đoàn Vingroup
2500000000.0,70.0,2,2,Công ty CP Đầu tư Văn Phú - Invest
2900000000.0,99.0,2,2,Công ty TNHH Gamuda Land Việt Nam
990000000.0,30.0,2,2,Tập đoàn Vingroup
1800000000.0,110.0,3,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2900000000.0,102.0,2,2,Công ty CP Đầu tư Dầu khí Toàn cầu 
1578000000.0,55.0,2,1,Tập đoàn Vingroup
2430000000.0,88.0,2,2,
2074000000.0,69.23,2,2,
3450000000.0,134.0,4,2,
5000000000.0,78.42,2,2,Tập đoàn Vingroup
2400000000.0,67.96,2,2,
1130000000.0,55.0,2,1,
3900000000.0,109.0,2,2,Tập đoàn Vingroup
2250000000.0,90.0,2,2,Tập đoàn CapitaLand
3700000000.0,100.0,2,2,Tổng công ty Xây dựng Hà Nội
2900000000.0,79.0,2,2,Công ty CP tập đoàn S.S.G
1150000000.0,69.5,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
4600000000.0,132.0,3,2,Tập đoàn Vingroup
3850000000.0,92.0,3,2,Tập đoàn Vingroup
1250000000.0,65.0,2,2,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco
2100000000.0,70.5,2,2,
4400000000.0,108.0,3,2,Công ty CP Hóa Dầu Quân Đội
1590000000.0,61.0,2,2,Công ty CP Đầu tư và Phát triển nhà Hà Nội số 68 - HANDICO 68
935000000.0,55.0,2,2,Công ty Cổ phần Tập đoàn FLC
2100000000.0,62.0,2,1,
1250000000.0,52.4,2,1,
2213000000.0,75.58,2,2,
1320000000.0,58.0,2,1,
2080000000.0,74.5,2,2,Công ty TNHH Bất động sản và Xây dựng Việt Hưng
1800000000.0,100.0,3,2,Công ty CP Đầu tư Kinh doanh và Phát triển hạ tầng KCN Phúc Hà
2850000000.0,72.0,2,2,Tập đoàn Vingroup
3300000000.0,110.0,3,2,
1800000000.0,59.0,2,1,
1050000000.0,76.0,2,2,
2100000000.0,105.0,3,2,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD
4100000000.0,116.7,3,2,Công ty CP Tập đoàn Sunshine
2150000000.0,80.0,2,2,
1180000000.0,43.0,1,1,
2800000000.0,103.0,2,2,
1400000000.0,60.0,2,1,
3200000000.0,90.0,1,2,Công ty CP tập đoàn S.S.G
5800000000.0,132.0,3,3,Tập đoàn Vingroup
2800000000.0,100.5,2,2,Công ty CP đầu tư xây dựng và phát triển nhà số 5  
11400000000.0,153.0,3,2,Tập đoàn Sun Group
3700000000.0,169.0,3,2,Tập đoàn Vingroup
1850000000.0,61.5,2,1,
650000000.0,34.0,1,1,Tổng công ty đầu tư phát triển nhà và đô thị Bộ Quốc Phòng
2350000000.0,81.0,2,2,Công ty CP Xây dựng và Phát triển Hạ tầng Đô thị - BID Việt Nam
2950000000.0,67.16,2,1,Công ty CP Đầu tư Phú Thượng 
2800000000.0,78.0,2,2,Tập đoàn Vingroup
1400000000.0,48.0,2,1,
1300000000.0,88.0,2,2,Công ty CP Sông Đà 1.01
1350000000.0,42.9,1,1,Tập đoàn Vingroup
1860000000.0,64.71,2,1,Bộ Tham Mưu - Bộ Tư Lệnh Bộ Đội Biên Phòng
6300000000.0,182.0,4,4,
2990000000.0,95.0,2,2,Công ty CP Thương mại Minh Vĩnh Khang
1200000000.0,67.0,2,2,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên
880000000.0,48.0,2,1,
2150000000.0,98.0,3,2,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân
