Unnamed: 0.1,Index,titles,price,area,location,time
0,0,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại iris garden mỹ đình
			",30 triệu,Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
1,1,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
2,2,"
																Chính chủ bán gấp CHCC tầng 31 tòa VP5 Linh Đàm, 1,28 tỷ, 0902986111
			","1,28 tỷ",Diện tích: 63m2,Hoàng Mai,2 ngày trước
3,3,"
																Bán căn hộ 3 ngủ góc 104m2 Tây Tứ Trạch dự án chung cư The Zei Mỹ Đình
			","4,449 tỷ",Diện tích: 104m2,Nam Từ Liêm,2 ngày trước
4,4,"
																Bán gấp căn hộ 3 ngủ 101m2, B1-1601 tại dự án ROMAN PLAZA - TỐ HỮU, Giá 3.3 tỷ. LH:0983292695
			","3,3 tỷ",Diện tích: 102m2,Nam Từ Liêm,2 ngày trước
5,5,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình:
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
6,6,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình
			",Liên hệ,Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
7,7,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình
			","29,5 triệu",Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
8,8,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình.
			","4,1 tỷ",Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
9,9,"
																Bán căn hộ Ecolife Capital Tố Hữu 74.2m2; 2 PN; Nội thất cao cấp; Giá 2 tỷ 45
			","2,45 tỷ",Diện tích: 74m2,Nam Từ Liêm,2 ngày trước
10,10,"
																Chỉ từ 29,5tr/m2 sở hữu 1 căn hộ tại trung tâm Mỹ Đình
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
11,11,"
																Iris Garden – Lựa chọn tối ưu cho gia đình bạn
			","4,095 ngàn",Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
12,12,"
																Chính Chủ Bán Gấp Căn Hộ Vinhomes Green Bay 86m2 - 3pn - Full Nội Thất - Có Sổ Đỏ
			","3,3 tỷ",Diện tích: 86m2,Nam Từ Liêm,2 ngày trước
13,13,"
																Iris Garden – Lựa chọn tối ưu cho gia đình bạn
			","29,5 triệu",Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
14,14,"
																Chính Chủ Cần Bán Căn Hộ Chung Cư Gamuda Garden 3pn - 94m2 - Nhiều Ánh Sáng
			","2,2 tỷ",Diện tích: 94m2,Hoàng Mai,2 ngày trước
15,15,"
																Iris Garden lựa chọn tối ưu cho gia đình bạn
			",30 triệu,Diện tích: 133m2,Nam Từ Liêm,3 ngày trước
16,16,"
																Căn đẹp giá tốt, 3PN(112.9m2) :3.5 tỷ, trả giãn 3 năm không mất lãi
			","3,5 tỷ",Diện tích: 113m2,Bắc Từ Liêm,3 ngày trước
17,17,"
																Dự án Liberation Geleximco CHỈ VỚI 1.8 TỶ SỞ HỮU CHUNG CƯ NGAY CẠNH AEON MALL HOÀNG MAI  
			",30 triệu,Diện tích: 60m2,Hoàng Mai,3 ngày trước
18,18,"
																Cần bán căn góc tòa S2, 03 phòng ngủ 129m2. Nhận nhà ở ngay. Giá rẻ nhất
			","28,5 triệu",Diện tích: 129m2,Bắc Từ Liêm,3 ngày trước
19,19,"
																Cần bán căn hộ số 05 đẹp nhất toà CT1A, khu đô thị Nghĩa Đô, diện tích 65,38m2 giá 2,2 tỷ.
			","2,2 tỷ",Diện tích: 65m2,Bắc Từ Liêm,3 ngày trước
20,20,"

								Chính chủ bán căn chung cư CT1A Nghĩa Đô - 106 Hoàng Quốc Việt
			",36 triệu,Diện tích: 68m2,Bắc Từ Liêm,3 tuần trước
21,21,"
																Iris Garden - Nhận nhà ngay chỉ từ 1,2 tỷ đồng
			","3,95 tỷ",Diện tích: 133m2,Nam Từ Liêm,9 phút trước
22,22,"
																Biệt thự trên cao tại trung tâm Mỹ Đình - Căn hộ 4 phòng ngủ 169m2, thiết kế 3 mặt thoáng. Đóng 30%(1.3 tỷ) nhận nhà ở ngay, thanh toán trong 3 năm không lãi suất.
			","4,6 tỷ",Diện tích: 161m2,Bắc Từ Liêm,1 giờ trước
23,23,"
																Bán căn hộ 2 ngủ+1 dự án Chung cư THE ZEI Mỹ Đình
			","3,824 tỷ",Diện tích: 94m2,Nam Từ Liêm,2 giờ trước
24,24,"
																Iris Garden - Nhận nhà ngay chỉ từ 1,2 tỷ
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,3 giờ trước
25,25,"
																Bán căn hộ đủ nội thất chung cư B14 Kim Liên, 62 m2 bàn giao nhà ở ngay
			","2,19 tỷ",Diện tích: 62m2,Đống Đa,3 giờ trước
26,26,"
																Chính chủ cần bán căn hộ 2PN 67m2 ,tòa nhà B1-B2 Tây Nam Linh Đàm Twin Towers .LH:0823546051
			","2,05 tỷ",Diện tích: 67m2,Bắc Từ Liêm,5 giờ trước
27,27,"
																Căn hộ 3 phòng ngủ, đóng 30% nhận nhà ở ngay, thanh toán trong 3 năm. Trung tâm Mỹ Đình
			",28 triệu,Diện tích: 129m2,Bắc Từ Liêm,5 giờ trước
28,28,"
																Còn 5 ngày chính sách bán TT30% nhận nhà còn lại TT trong 3 năm Tại Goldmark City
			",29 triệu,Diện tích: 129m2,Bắc Từ Liêm,6 giờ trước
29,29,"
																Chính sách khủng tại Goldmark City 136 Hồ Tùng Mậu
			",Liên hệ,Diện tích: 129m2,Bắc Từ Liêm,6 giờ trước
30,30,"
																BÁN DUY NHẤT CĂN HỘ 4 NGỦ GIÁ 4,6 TY NHẬN NHÀ CHỈ CẦN 1,3 TỶ, CĂN 159M2 SIÊU PHẨM GOLDMARK CITY
			",Liên hệ,Diện tích: 129m2,Bắc Từ Liêm,6 giờ trước
31,31,"
																BÁN CĂN 3PN (143M2) DUY NHẤT 50% (1,68 TỶ) NHẬN NHÀ, VIEW THÀNH PHỐ VÀ NÚI BA VÌ
			",27 triệu,Diện tích: 143m2,Bắc Từ Liêm,6 giờ trước
32,32,"
																Chỉ 1.4 tỷ sở hữu ngay căn hộ 4PN tại trung tâm Mỹ Đình - Đóng 30% nhận nhà ở ngay
			",Liên hệ,Diện tích: 159m2,Bắc Từ Liêm,6 giờ trước
33,33,"
																Căn 4PN duy nhất 3 mặt thoáng giá chỉ 28tr/m2 CK lên đến 15% tại chung cư Goldmark City
			",Liên hệ,Diện tích: 160m2,Bắc Từ Liêm,6 giờ trước
34,34,"
																Căn hộ 4PN giá 4,6 tỷ nhận nhà chỉ với 30% GTCH chiết khấu lên đến 15% duy nhất tại Goldmark City
			",Liên hệ,Diện tích: 159m2,Bắc Từ Liêm,6 giờ trước
35,35,"
																Nhận nhà ở ngay chỉ với 30% (1,4 tỷ) 4PN siêu đẳng view bể bơi đắt giá cho gia đình đa thế hệ
			",Liên hệ,Diện tích: 160m2,Bắc Từ Liêm,6 giờ trước
36,36,"
																Có chắc là Goldmark City có căn hộ nào 3 phòng ngủ 2 cửa chính
			",Liên hệ,Diện tích: 113m2,Bắc Từ Liêm,6 giờ trước
37,37,"
																Chỉ 1.2 tỷ sở hữu ngay căn hộ 3 phòng ngủ tại Mỹ Đình - Nhận nhà ở ngay
			",Liên hệ,Diện tích: 115m2,Bắc Từ Liêm,6 giờ trước
38,38,"
																68 căn góc đẹp nhất dự án IRISGARSEN-Mỹ Đình, giá chỉ từ 29,5tr/m2, nhận nhà ở ngay
			",Liên hệ,Diện tích: 133m2,Nam Từ Liêm,7 giờ trước
39,39,"
																Bán căn hộ chung cư Phú Thịnh Green Park 82.5m2, chỉ 2 tỷ
			",24 triệu,Diện tích: 83m2,Hà Đông,7 giờ trước
40,40,"
																Iris Garden - Nhận nhà ngay chỉ từ 1,2 tỷ
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,8 giờ trước
41,41,"
																Goldmark City, đóng 30% nhận nhà, trả chậm trong 3 năm, chiết khấu 15% GTCH
			","3,6 tỷ",Diện tích: 128m2,Bắc Từ Liêm,8 giờ trước
42,42,"
																Bán căn 4PN, căn hộ đẳng cấp nhất Goldmark City 136 Hồ Tùng Mậu, chỉ đóng 30% nhận nhà ở luôn
			","4,6 tỷ",Diện tích: 159m2,Bắc Từ Liêm,8 giờ trước
43,43,"
																Iris Garden - Nhận nhà ngay chỉ từ 1,2 tỷ 
			","4,1 tỷ",Diện tích: 133m2,Nam Từ Liêm,8 giờ trước
44,44,"
																Cần bán căn 3PN - Trung tâm Mỹ Đình
			","29,5 triệu",Diện tích: 133m2,Nam Từ Liêm,22 giờ trước
45,45,"
																Cắt lỗ căn 2PN tòa CTM 64m2 trung tâm Cầu Giấy giá 1,8 tỷ
			","1,8 tỷ",Diện tích: 64m2,Cầu Giấy,1 ngày trước
46,46,"
																Em cần bán gấp căn 3PN Mỹ Đình cho khách Tây Tứ Mệnh- đơn giá 29.5tr/m2
			",Liên hệ,Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
47,47,"
																Cần bán căn 3pn trung tâm Mỹ Đình 
			",30 triệu,Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
48,48,"
																Cần bán căn 3PN - Trung tâm Mỹ Đình
			","3,95 tỷ",Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
49,49,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình
			",Liên hệ,Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
50,50,"
																Cần bán căn 3PN - Trung tâm Mỹ Đình
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
51,51,"
																Cần bán căn 3PN - Trung tâm Mỹ Đình đơn giá chỉ 29.5tr/m2
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
52,52,"
																Cần bán căn 3PN - Trung tâm Mỹ Đình
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
53,53,"
																Bán căn hộ 2PN 79m2 tầng cao view thành phố dự án HDI 55 Lê Đại Hành. LH:0989516655
			","7,5 tỷ",Diện tích: 79m2,Hai Bà Trưng,1 ngày trước
54,54,"
																Cần bán căn 3PN Trung tâm Mỹ Đình chung cư Iris Garden giá 30tr/m2.
			","4,1 tỷ",Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
55,55,"
																Chỉ từ 450tr sở hữu ngay căn hộ GELEXIMCO SOUTHERN STAR trung tâm quận  Hoàng Mai
			",30 triệu,Diện tích: 62m2,Hoàng Mai,1 ngày trước
56,56,"
																Dự Án GELEXIMCO SOUTHERN STAR Chỉ 600/TR sở hữu ngay căn hộ trung tâm quận Hoàng Mai
			",31 triệu,Diện tích: 92m2,Hoàng Mai,1 ngày trước
57,57,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
58,58,"
																:fireworks::fireworks: Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình:fireworks::fireworks:
			","4,095 tỷ",Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
59,59,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình
			","3,95 tỷ",Diện tích: 133m2,Nam Từ Liêm,1 ngày trước
60,60,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại iris garden mỹ đình
			",30 triệu,Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
61,61,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
62,62,"
																Chính chủ bán gấp CHCC tầng 31 tòa VP5 Linh Đàm, 1,28 tỷ, 0902986111
			","1,28 tỷ",Diện tích: 63m2,Hoàng Mai,2 ngày trước
63,63,"
																Bán căn hộ 3 ngủ góc 104m2 Tây Tứ Trạch dự án chung cư The Zei Mỹ Đình
			","4,449 tỷ",Diện tích: 104m2,Nam Từ Liêm,2 ngày trước
64,64,"
																Bán gấp căn hộ 3 ngủ 101m2, B1-1601 tại dự án ROMAN PLAZA - TỐ HỮU, Giá 3.3 tỷ. LH:0983292695
			","3,3 tỷ",Diện tích: 102m2,Nam Từ Liêm,2 ngày trước
65,65,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình:
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
66,66,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình
			",Liên hệ,Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
67,67,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình
			","29,5 triệu",Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
68,68,"
																Căn Hộ chỉ Từ 3,9x tỷ chỉ có tại Iris Garden – Mỹ Đình.
			","4,1 tỷ",Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
69,69,"
																Bán căn hộ Ecolife Capital Tố Hữu 74.2m2; 2 PN; Nội thất cao cấp; Giá 2 tỷ 45
			","2,45 tỷ",Diện tích: 74m2,Nam Từ Liêm,2 ngày trước
70,70,"
																Chỉ từ 29,5tr/m2 sở hữu 1 căn hộ tại trung tâm Mỹ Đình
			",4 tỷ,Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
71,71,"
																Iris Garden – Lựa chọn tối ưu cho gia đình bạn
			","4,095 ngàn",Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
72,72,"
																Chính Chủ Bán Gấp Căn Hộ Vinhomes Green Bay 86m2 - 3pn - Full Nội Thất - Có Sổ Đỏ
			","3,3 tỷ",Diện tích: 86m2,Nam Từ Liêm,2 ngày trước
73,73,"
																Iris Garden – Lựa chọn tối ưu cho gia đình bạn
			","29,5 triệu",Diện tích: 133m2,Nam Từ Liêm,2 ngày trước
74,74,"
																Chính Chủ Cần Bán Căn Hộ Chung Cư Gamuda Garden 3pn - 94m2 - Nhiều Ánh Sáng
			","2,2 tỷ",Diện tích: 94m2,Hoàng Mai,2 ngày trước
75,75,"
																Iris Garden lựa chọn tối ưu cho gia đình bạn
			",30 triệu,Diện tích: 133m2,Nam Từ Liêm,3 ngày trước
